dataset,captioner,slot,miss_type,n
TSAQA-caption-source,chatts,argmax_third,wrong_argmax_third_first_vs_last,22
TSAQA-caption-source,chatts,argmax_third,wrong_argmax_third_first_vs_middle,91
TSAQA-caption-source,chatts,argmax_third,wrong_argmax_third_last_vs_first,69
TSAQA-caption-source,chatts,argmax_third,wrong_argmax_third_last_vs_middle,56
TSAQA-caption-source,chatts,argmax_third,wrong_argmax_third_middle_vs_first,128
TSAQA-caption-source,chatts,argmax_third,wrong_argmax_third_middle_vs_last,32
TSAQA-caption-source,chatts,argmin_third,wrong_argmin_third_first_vs_last,66
TSAQA-caption-source,chatts,argmin_third,wrong_argmin_third_first_vs_middle,38
TSAQA-caption-source,chatts,argmin_third,wrong_argmin_third_last_vs_first,39
TSAQA-caption-source,chatts,argmin_third,wrong_argmin_third_last_vs_middle,90
TSAQA-caption-source,chatts,argmin_third,wrong_argmin_third_middle_vs_first,46
TSAQA-caption-source,chatts,argmin_third,wrong_argmin_third_middle_vs_last,28
TSAQA-caption-source,chatts,periodicity_present,missed_periodicity,42
TSAQA-caption-source,chatts,periodicity_present,periodicity_hallucination,249
TSAQA-caption-source,chatts,periodicity_present,periodicity_present_but_wrong_period_steps,5
TSAQA-caption-source,chatts,trend,wrong_trend_down_vs_flat,16
TSAQA-caption-source,chatts,trend,wrong_trend_down_vs_mixed,55
TSAQA-caption-source,chatts,trend,wrong_trend_down_vs_up,7
TSAQA-caption-source,chatts,trend,wrong_trend_flat_vs_down,31
TSAQA-caption-source,chatts,trend,wrong_trend_flat_vs_mixed,190
TSAQA-caption-source,chatts,trend,wrong_trend_flat_vs_up,24
TSAQA-caption-source,chatts,trend,wrong_trend_mixed_vs_down,79
TSAQA-caption-source,chatts,trend,wrong_trend_mixed_vs_flat,61
TSAQA-caption-source,chatts,trend,wrong_trend_mixed_vs_up,70
TSAQA-caption-source,chatts,trend,wrong_trend_up_vs_down,10
TSAQA-caption-source,chatts,trend,wrong_trend_up_vs_flat,2
TSAQA-caption-source,chatts,trend,wrong_trend_up_vs_mixed,18
TSAQA-caption-source,chatts,volatility_half,wrong_volatility_equal_vs_first,72
TSAQA-caption-source,chatts,volatility_half,wrong_volatility_equal_vs_second,8
TSAQA-caption-source,chatts,volatility_half,wrong_volatility_first_vs_equal,12
TSAQA-caption-source,chatts,volatility_half,wrong_volatility_first_vs_second,15
TSAQA-caption-source,chatts,volatility_half,wrong_volatility_second_vs_equal,18
TSAQA-caption-source,chatts,volatility_half,wrong_volatility_second_vs_first,62
TSAQA-caption-source,opentslm,argmax_third,wrong_argmax_third_first_vs_last,76
TSAQA-caption-source,opentslm,argmax_third,wrong_argmax_third_first_vs_middle,206
TSAQA-caption-source,opentslm,argmax_third,wrong_argmax_third_last_vs_first,74
TSAQA-caption-source,opentslm,argmax_third,wrong_argmax_third_last_vs_middle,47
TSAQA-caption-source,opentslm,argmax_third,wrong_argmax_third_middle_vs_first,85
TSAQA-caption-source,opentslm,argmax_third,wrong_argmax_third_middle_vs_last,23
TSAQA-caption-source,opentslm,argmin_third,wrong_argmin_third_first_vs_last,116
TSAQA-caption-source,opentslm,argmin_third,wrong_argmin_third_first_vs_middle,117
TSAQA-caption-source,opentslm,argmin_third,wrong_argmin_third_last_vs_first,50
TSAQA-caption-source,opentslm,argmin_third,wrong_argmin_third_last_vs_middle,24
TSAQA-caption-source,opentslm,argmin_third,wrong_argmin_third_middle_vs_first,90
TSAQA-caption-source,opentslm,argmin_third,wrong_argmin_third_middle_vs_last,51
TSAQA-caption-source,opentslm,periodicity_present,missed_periodicity,21
TSAQA-caption-source,opentslm,periodicity_present,periodicity_hallucination,594
TSAQA-caption-source,opentslm,periodicity_present,periodicity_present_but_wrong_period_steps,19
TSAQA-caption-source,opentslm,trend,wrong_trend_down_vs_flat,2
TSAQA-caption-source,opentslm,trend,wrong_trend_down_vs_mixed,7
TSAQA-caption-source,opentslm,trend,wrong_trend_down_vs_up,1
TSAQA-caption-source,opentslm,trend,wrong_trend_flat_vs_down,4
TSAQA-caption-source,opentslm,trend,wrong_trend_flat_vs_mixed,16
TSAQA-caption-source,opentslm,trend,wrong_trend_flat_vs_up,1
TSAQA-caption-source,opentslm,trend,wrong_trend_mixed_vs_down,225
TSAQA-caption-source,opentslm,trend,wrong_trend_mixed_vs_flat,164
TSAQA-caption-source,opentslm,trend,wrong_trend_mixed_vs_up,117
TSAQA-caption-source,opentslm,trend,wrong_trend_up_vs_flat,1
TSAQA-caption-source,opentslm,trend,wrong_trend_up_vs_mixed,3
TSAQA-caption-source,opentslm,volatility_half,wrong_volatility_equal_vs_first,94
TSAQA-caption-source,opentslm,volatility_half,wrong_volatility_equal_vs_second,13
TSAQA-caption-source,opentslm,volatility_half,wrong_volatility_first_vs_equal,25
TSAQA-caption-source,opentslm,volatility_half,wrong_volatility_first_vs_second,22
TSAQA-caption-source,opentslm,volatility_half,wrong_volatility_second_vs_equal,5
TSAQA-caption-source,opentslm,volatility_half,wrong_volatility_second_vs_first,11
TSShapeQA-OOD,chatts,argmax_third,wrong_argmax_third_first_vs_last,26
TSShapeQA-OOD,chatts,argmax_third,wrong_argmax_third_first_vs_middle,63
TSShapeQA-OOD,chatts,argmax_third,wrong_argmax_third_last_vs_first,30
TSShapeQA-OOD,chatts,argmax_third,wrong_argmax_third_last_vs_middle,39
TSShapeQA-OOD,chatts,argmax_third,wrong_argmax_third_middle_vs_first,55
TSShapeQA-OOD,chatts,argmax_third,wrong_argmax_third_middle_vs_last,43
TSShapeQA-OOD,chatts,periodicity_present,missed_periodicity,17
TSShapeQA-OOD,chatts,periodicity_present,periodicity_hallucination,23
TSShapeQA-OOD,chatts,trend,wrong_trend_down_vs_flat,2
TSShapeQA-OOD,chatts,trend,wrong_trend_down_vs_mixed,25
TSShapeQA-OOD,chatts,trend,wrong_trend_down_vs_up,3
TSShapeQA-OOD,chatts,trend,wrong_trend_flat_vs_down,55
TSShapeQA-OOD,chatts,trend,wrong_trend_flat_vs_mixed,181
TSShapeQA-OOD,chatts,trend,wrong_trend_flat_vs_up,62
TSShapeQA-OOD,chatts,trend,wrong_trend_mixed_vs_down,51
TSShapeQA-OOD,chatts,trend,wrong_trend_mixed_vs_flat,9
TSShapeQA-OOD,chatts,trend,wrong_trend_mixed_vs_up,66
TSShapeQA-OOD,chatts,trend,wrong_trend_up_vs_down,3
TSShapeQA-OOD,chatts,trend,wrong_trend_up_vs_flat,5
TSShapeQA-OOD,chatts,trend,wrong_trend_up_vs_mixed,37
TSShapeQA-OOD,chatts,volatility_half,wrong_volatility_equal_vs_first,36
TSShapeQA-OOD,chatts,volatility_half,wrong_volatility_equal_vs_second,48
TSShapeQA-OOD,chatts,volatility_half,wrong_volatility_first_vs_equal,52
TSShapeQA-OOD,chatts,volatility_half,wrong_volatility_first_vs_second,240
TSShapeQA-OOD,chatts,volatility_half,wrong_volatility_second_vs_equal,10
TSShapeQA-OOD,chatts,volatility_half,wrong_volatility_second_vs_first,12
TSShapeQA-OOD,opentslm,argmax_third,wrong_argmax_third_first_vs_last,35
TSShapeQA-OOD,opentslm,argmax_third,wrong_argmax_third_first_vs_middle,30
TSShapeQA-OOD,opentslm,argmax_third,wrong_argmax_third_last_vs_first,182
TSShapeQA-OOD,opentslm,argmax_third,wrong_argmax_third_last_vs_middle,139
TSShapeQA-OOD,opentslm,argmax_third,wrong_argmax_third_middle_vs_first,38
TSShapeQA-OOD,opentslm,argmax_third,wrong_argmax_third_middle_vs_last,38
TSShapeQA-OOD,opentslm,argmin_third,wrong_argmin_third_first_vs_last,155
TSShapeQA-OOD,opentslm,argmin_third,wrong_argmin_third_first_vs_middle,135
TSShapeQA-OOD,opentslm,argmin_third,wrong_argmin_third_last_vs_first,33
TSShapeQA-OOD,opentslm,argmin_third,wrong_argmin_third_last_vs_middle,11
TSShapeQA-OOD,opentslm,argmin_third,wrong_argmin_third_middle_vs_first,17
TSShapeQA-OOD,opentslm,argmin_third,wrong_argmin_third_middle_vs_last,8
TSShapeQA-OOD,opentslm,periodicity_present,missed_periodicity,8
TSShapeQA-OOD,opentslm,periodicity_present,periodicity_hallucination,532
TSShapeQA-OOD,opentslm,periodicity_present,periodicity_present_but_wrong_period_steps,130
TSShapeQA-OOD,opentslm,trend,wrong_trend_down_vs_flat,5
TSShapeQA-OOD,opentslm,trend,wrong_trend_down_vs_mixed,5
TSShapeQA-OOD,opentslm,trend,wrong_trend_down_vs_up,4
TSShapeQA-OOD,opentslm,trend,wrong_trend_flat_vs_down,8
TSShapeQA-OOD,opentslm,trend,wrong_trend_flat_vs_mixed,15
TSShapeQA-OOD,opentslm,trend,wrong_trend_flat_vs_up,19
TSShapeQA-OOD,opentslm,trend,wrong_trend_mixed_vs_down,36
TSShapeQA-OOD,opentslm,trend,wrong_trend_mixed_vs_flat,6
TSShapeQA-OOD,opentslm,trend,wrong_trend_mixed_vs_up,75
TSShapeQA-OOD,opentslm,trend,wrong_trend_up_vs_down,125
TSShapeQA-OOD,opentslm,trend,wrong_trend_up_vs_flat,25
TSShapeQA-OOD,opentslm,trend,wrong_trend_up_vs_mixed,203
TSShapeQA-OOD,opentslm,volatility_half,wrong_volatility_equal_vs_first,131
TSShapeQA-OOD,opentslm,volatility_half,wrong_volatility_equal_vs_second,135
TSShapeQA-OOD,opentslm,volatility_half,wrong_volatility_first_vs_equal,3
TSShapeQA-OOD,opentslm,volatility_half,wrong_volatility_first_vs_second,12
TSShapeQA-OOD,opentslm,volatility_half,wrong_volatility_second_vs_first,3
dataset_a,chatts,argmax_third,wrong_argmax_third_first_vs_middle,4
dataset_a,chatts,argmax_third,wrong_argmax_third_last_vs_middle,27
dataset_a,chatts,argmax_third,wrong_argmax_third_middle_vs_last,9
dataset_a,chatts,argmin_third,wrong_argmin_third_first_vs_last,5
dataset_a,chatts,argmin_third,wrong_argmin_third_first_vs_middle,7
dataset_a,chatts,argmin_third,wrong_argmin_third_last_vs_first,5
dataset_a,chatts,argmin_third,wrong_argmin_third_last_vs_middle,4
dataset_a,chatts,argmin_third,wrong_argmin_third_middle_vs_first,5
dataset_a,chatts,argmin_third,wrong_argmin_third_middle_vs_last,3
dataset_a,chatts,periodicity_present,missed_periodicity,4
dataset_a,chatts,periodicity_present,periodicity_hallucination,8
dataset_a,chatts,trend,wrong_trend_down_vs_mixed,5
dataset_a,chatts,trend,wrong_trend_flat_vs_mixed,16
dataset_a,chatts,trend,wrong_trend_flat_vs_up,3
dataset_a,chatts,trend,wrong_trend_mixed_vs_down,5
dataset_a,chatts,trend,wrong_trend_mixed_vs_flat,16
dataset_a,chatts,trend,wrong_trend_mixed_vs_up,8
dataset_a,chatts,trend,wrong_trend_up_vs_flat,1
dataset_a,chatts,trend,wrong_trend_up_vs_mixed,4
dataset_a,chatts,volatility_half,wrong_volatility_equal_vs_second,8
dataset_a,chatts,volatility_half,wrong_volatility_first_vs_equal,2
dataset_a,chatts,volatility_half,wrong_volatility_first_vs_second,3
dataset_a,chatts,volatility_half,wrong_volatility_second_vs_first,2
dataset_a,opentslm,argmax_third,wrong_argmax_third_first_vs_last,23
dataset_a,opentslm,argmax_third,wrong_argmax_third_first_vs_middle,25
dataset_a,opentslm,argmax_third,wrong_argmax_third_last_vs_first,6
dataset_a,opentslm,argmax_third,wrong_argmax_third_last_vs_middle,34
dataset_a,opentslm,argmax_third,wrong_argmax_third_middle_vs_first,1
dataset_a,opentslm,argmax_third,wrong_argmax_third_middle_vs_last,2
dataset_a,opentslm,argmin_third,wrong_argmin_third_first_vs_last,11
dataset_a,opentslm,argmin_third,wrong_argmin_third_first_vs_middle,22
dataset_a,opentslm,argmin_third,wrong_argmin_third_last_vs_first,15
dataset_a,opentslm,argmin_third,wrong_argmin_third_last_vs_middle,2
dataset_a,opentslm,periodicity_present,missed_periodicity,2
dataset_a,opentslm,periodicity_present,periodicity_hallucination,84
dataset_a,opentslm,periodicity_present,periodicity_present_but_wrong_period_steps,7
dataset_a,opentslm,trend,wrong_trend_down_vs_flat,2
dataset_a,opentslm,trend,wrong_trend_down_vs_mixed,5
dataset_a,opentslm,trend,wrong_trend_flat_vs_mixed,3
dataset_a,opentslm,trend,wrong_trend_flat_vs_up,1
dataset_a,opentslm,trend,wrong_trend_mixed_vs_down,2
dataset_a,opentslm,trend,wrong_trend_mixed_vs_flat,13
dataset_a,opentslm,trend,wrong_trend_mixed_vs_up,9
dataset_a,opentslm,trend,wrong_trend_up_vs_down,3
dataset_a,opentslm,trend,wrong_trend_up_vs_flat,14
dataset_a,opentslm,trend,wrong_trend_up_vs_mixed,23
dataset_a,opentslm,volatility_half,wrong_volatility_equal_vs_first,6
dataset_a,opentslm,volatility_half,wrong_volatility_equal_vs_second,22
dataset_a,opentslm,volatility_half,wrong_volatility_first_vs_equal,1
dataset_a,opentslm,volatility_half,wrong_volatility_first_vs_second,6
