dataset,captioner,slot,n,hit,miss,unclear,hit_rate_all,miss_rate_all,unclear_rate,hit_rate_known,hallucination_rate_all
TSAQA-caption-source,chatts,argmax_third,1000,221,398,381,0.221,0.398,0.381,0.3570274636510501,0.0
TSAQA-caption-source,chatts,argmin_third,1000,274,307,419,0.274,0.307,0.419,0.47160068846815834,0.0
TSAQA-caption-source,chatts,periodicity_present,1000,709,291,0,0.709,0.291,0.0,0.709,0.249
TSAQA-caption-source,chatts,trend,1000,432,563,5,0.432,0.563,0.005,0.43417085427135677,0.0
TSAQA-caption-source,chatts,volatility_half,1000,89,187,724,0.089,0.187,0.724,0.322463768115942,0.0
TSAQA-caption-source,opentslm,argmax_third,1000,473,511,16,0.473,0.511,0.016,0.4806910569105691,0.0
TSAQA-caption-source,opentslm,argmin_third,1000,307,448,245,0.307,0.448,0.245,0.4066225165562914,0.0
TSAQA-caption-source,opentslm,periodicity_present,1000,385,615,0,0.385,0.615,0.0,0.385,0.594
TSAQA-caption-source,opentslm,trend,1000,459,541,0,0.459,0.541,0.0,0.459,0.0
TSAQA-caption-source,opentslm,volatility_half,1000,90,170,740,0.09,0.17,0.74,0.34615384615384615,0.0
TSShapeQA-OOD,chatts,argmax_third,800,520,256,24,0.65,0.32,0.03,0.6701030927835051,0.0
TSShapeQA-OOD,chatts,argmin_third,800,1,0,799,0.00125,0.0,0.99875,1.0,0.0
TSShapeQA-OOD,chatts,periodicity_present,800,229,40,531,0.28625,0.05,0.66375,0.8513011152416357,0.02875
TSShapeQA-OOD,chatts,trend,800,299,499,2,0.37375,0.62375,0.0025,0.37468671679197996,0.0
TSShapeQA-OOD,chatts,volatility_half,800,393,398,9,0.49125,0.4975,0.01125,0.4968394437420986,0.0
TSShapeQA-OOD,opentslm,argmax_third,763,250,462,51,0.32765399737876805,0.6055045871559633,0.06684141546526867,0.351123595505618,0.0
TSShapeQA-OOD,opentslm,argmin_third,763,333,359,71,0.436435124508519,0.4705111402359109,0.09305373525557012,0.48121387283236994,0.0
TSShapeQA-OOD,opentslm,periodicity_present,763,218,540,5,0.2857142857142857,0.7077326343381389,0.00655307994757536,0.287598944591029,0.6972477064220184
TSShapeQA-OOD,opentslm,trend,763,233,526,4,0.3053735255570118,0.6893840104849279,0.005242463958060288,0.3069828722002635,0.0
TSShapeQA-OOD,opentslm,volatility_half,763,29,284,450,0.03800786369593709,0.3722149410222805,0.5897771952817824,0.0926517571884984,0.0
dataset_a,chatts,argmax_third,117,54,40,23,0.46153846153846156,0.3418803418803419,0.19658119658119658,0.574468085106383,0.0
dataset_a,chatts,argmin_third,117,36,29,52,0.3076923076923077,0.24786324786324787,0.4444444444444444,0.5538461538461539,0.0
dataset_a,chatts,periodicity_present,117,105,12,0,0.8974358974358975,0.10256410256410256,0.0,0.8974358974358975,0.06837606837606838
dataset_a,chatts,trend,117,59,58,0,0.5042735042735043,0.49572649572649574,0.0,0.5042735042735043,0.0
dataset_a,chatts,volatility_half,117,11,15,91,0.09401709401709402,0.1282051282051282,0.7777777777777778,0.4230769230769231,0.0
dataset_a,opentslm,argmax_third,111,19,91,1,0.17117117117117117,0.8198198198198198,0.009009009009009009,0.17272727272727273,0.0
dataset_a,opentslm,argmin_third,111,35,50,26,0.3153153153153153,0.45045045045045046,0.23423423423423423,0.4117647058823529,0.0
dataset_a,opentslm,periodicity_present,111,22,86,3,0.1981981981981982,0.7747747747747747,0.02702702702702703,0.2037037037037037,0.7567567567567568
dataset_a,opentslm,trend,111,35,75,1,0.3153153153153153,0.6756756756756757,0.009009009009009009,0.3181818181818182,0.0
dataset_a,opentslm,volatility_half,111,6,35,70,0.05405405405405406,0.3153153153153153,0.6306306306306306,0.14634146341463414,0.0
