benchmark,domain_level,metric_kind,chatts_caption,chatts_caption_plus,meta_only,numbers,numbers_cot,opentslm_caption,opentslm_caption_plus,tool_agent,numbers_minus_meta_only,opentslm_caption_plus_minus_numbers,chatts_caption_plus_minus_numbers,opentslm_caption_minus_numbers,chatts_caption_minus_numbers,best_caption_plus_minus_numbers
FREDQA,domain_context_needed,accuracy,0.7142857142857143,0.7142857142857143,0.7428571428571429,0.6571428571428571,,0.7428571428571429,0.6857142857142857,,-0.08571428571428574,0.02857142857142858,0.05714285714285716,0.08571428571428574,0.05714285714285716,0.05714285714285716
FREDQA,domain_knowledge_required,accuracy,0.8260105448154658,0.8189806678383128,0.8137082601054482,0.8312829525483304,,0.8101933216168717,0.8312829525483304,,0.017574692442882234,0.0,-0.012302284710017597,-0.02108963093145866,-0.005272407732864637,0.0
TSAQA,domain_context_needed,accuracy,0.5250737463126843,0.6224188790560472,0.4837758112094395,0.6253687315634219,,0.45427728613569324,0.5929203539823009,0.5781710914454278,0.14159292035398235,-0.03244837758112096,-0.002949852507374673,-0.17109144542772864,-0.10029498525073755,-0.002949852507374673
TSAQA,domain_knowledge_required,accuracy,0.4375,0.5,0.8125,0.875,,0.4375,0.75,0.8125,0.0625,-0.125,-0.375,-0.4375,-0.4375,-0.125
TSAQA,domain_shell,accuracy,0.42745709828393136,0.5975039001560063,0.5023400936037441,0.656786271450858,,0.44617784711388453,0.5990639625585024,0.5382215288611545,0.1544461778471139,-0.057722308892355634,-0.0592823712948517,-0.21060842433697347,-0.22932917316692664,-0.057722308892355634
TSShapeQA-OOD,domain_shell,accuracy,0.52875,0.5325,0.335,0.55375,0.59875,0.335,0.4625,1.0,0.21874999999999994,-0.09124999999999994,-0.02124999999999999,-0.21874999999999994,-0.02499999999999991,-0.02124999999999999
TimeSeriesExam,generic_ts,accuracy,0.5133079847908745,,0.3916349809885932,0.6768060836501901,,0.3612167300380228,,,0.28517110266159695,,,-0.31558935361216733,-0.16349809885931565,
dataset_a,domain_context_needed,open_score,0.8250482666666666,0.8621455666666668,0.3611946999999999,0.556644,,0.30768709999999994,0.5288384333333334,0.7239764,0.1954493000000001,-0.02780556666666667,0.3055015666666667,-0.2489569000000001,0.2684042666666666,0.3055015666666667
dataset_a,domain_knowledge_required,open_score,0.49861113333333335,0.4929378813559322,0.4166666833333333,0.4535519508196721,,0.3644068135593221,0.42655369491525424,0.4262295081967213,0.0368852674863388,-0.026998255904417845,0.039385930536260105,-0.08914513726035,0.045059182513661256,0.039385930536260105
dataset_a,domain_shell,open_score,0.8078750384615385,0.8490593076923076,0.35286123076923076,0.6349243076923078,,0.21858284615384613,0.49749376923076927,0.6283083846153846,0.282063076923077,-0.13743053846153852,0.21413499999999985,-0.41634146153846163,0.17295073076923073,0.21413499999999985
dataset_a_raw_multivar,domain_knowledge_required,open_score,0.561281179138322,0.616326530612245,0.502277021919879,0.6202290764790765,,0.4914399092970521,0.6227891156462585,,0.11795205455919755,0.002560039167181949,-0.003902545866831586,-0.12878916718202443,-0.05894789734075456,0.002560039167181949
