benchmark,metric_kind,condition,meta_total_n,meta_correct_n,meta_correct_rate,hard_n,hard_fraction,overall_metric_n,hard_metric_n,overall_correct_n,hard_correct_n,overall_accuracy,hard_accuracy,overall_mean_score,hard_mean_score,overall_value,hard_value,delta_hard_minus_overall
FREDQA,accuracy,meta_only,604,489,0.8096026490066225,115,0.19039735099337748,604,115,489,0,0.8096026490066225,0.0,,,0.8096026490066225,0.0,-0.8096026490066225
FREDQA,accuracy,numbers,604,489,0.8096026490066225,115,0.19039735099337748,604,115,496,27,0.8211920529801324,0.23478260869565218,,,0.8211920529801324,0.23478260869565218,-0.5864094442844803
FREDQA,accuracy,opentslm_caption,604,489,0.8096026490066225,115,0.19039735099337748,604,115,487,16,0.8062913907284768,0.1391304347826087,,,0.8062913907284768,0.1391304347826087,-0.6671609559458681
FREDQA,accuracy,opentslm_caption_plus,604,489,0.8096026490066225,115,0.19039735099337748,604,115,497,25,0.8228476821192053,0.21739130434782608,,,0.8228476821192053,0.21739130434782608,-0.6054563777713793
FREDQA,accuracy,chatts_caption,604,489,0.8096026490066225,115,0.19039735099337748,604,115,495,24,0.8195364238410596,0.20869565217391303,,,0.8195364238410596,0.20869565217391303,-0.6108407716671466
FREDQA,accuracy,chatts_caption_plus,604,489,0.8096026490066225,115,0.19039735099337748,604,115,491,22,0.8129139072847682,0.19130434782608696,,,0.8129139072847682,0.19130434782608696,-0.6216095594586812
TSAQA,accuracy,meta_only,996,499,0.501004016064257,497,0.49899598393574296,996,497,499,0,0.501004016064257,0.0,0.501004016064257,0.0,0.501004016064257,0.0,-0.501004016064257
TSAQA,accuracy,numbers,996,499,0.501004016064257,497,0.49899598393574296,996,497,647,268,0.6495983935742972,0.5392354124748491,0.6495983935742972,0.5392354124748491,0.6495983935742972,0.5392354124748491,-0.11036298109944809
TSAQA,accuracy,opentslm_caption,996,499,0.501004016064257,497,0.49899598393574296,996,497,447,137,0.44879518072289154,0.27565392354124746,0.44879518072289154,0.27565392354124746,0.44879518072289154,0.27565392354124746,-0.17314125718164408
TSAQA,accuracy,opentslm_caption_plus,996,499,0.501004016064257,497,0.49899598393574296,996,497,597,246,0.5993975903614458,0.4949698189134809,0.5993975903614458,0.4949698189134809,0.5993975903614458,0.4949698189134809,-0.10442777144796489
TSAQA,accuracy,chatts_caption,996,499,0.501004016064257,497,0.49899598393574296,996,497,459,134,0.4608433734939759,0.26961770623742454,0.4608433734939759,0.26961770623742454,0.4608433734939759,0.26961770623742454,-0.19122566725655138
TSAQA,accuracy,chatts_caption_plus,996,499,0.501004016064257,497,0.49899598393574296,996,497,602,259,0.6044176706827309,0.5211267605633803,0.6044176706827309,0.5211267605633803,0.6044176706827309,0.5211267605633803,-0.08329091011935064
TSAQA,accuracy,tool_agent,996,499,0.501004016064257,497,0.49899598393574296,996,497,554,193,0.5562248995983936,0.38832997987927564,0.5562248995983936,0.38832997987927564,0.5562248995983936,0.38832997987927564,-0.16789491971911796
TSShapeQA-OOD,accuracy,meta_only,800,268,0.335,532,0.665,800,532,268,0,0.335,0.0,0.335,0.0,0.335,0.0,-0.335
TSShapeQA-OOD,accuracy,numbers,800,268,0.335,532,0.665,800,532,443,211,0.55375,0.3966165413533835,0.55375,0.3966165413533835,0.55375,0.3966165413533835,-0.1571334586466165
TSShapeQA-OOD,accuracy,numbers_cot,800,268,0.335,532,0.665,800,532,479,251,0.59875,0.4718045112781955,0.59875,0.4718045112781955,0.59875,0.4718045112781955,-0.1269454887218045
TSShapeQA-OOD,accuracy,opentslm_caption,800,268,0.335,532,0.665,800,532,268,127,0.335,0.2387218045112782,0.335,0.2387218045112782,0.335,0.2387218045112782,-0.09627819548872182
TSShapeQA-OOD,accuracy,opentslm_caption_plus,800,268,0.335,532,0.665,800,532,370,199,0.4625,0.37406015037593987,0.4625,0.37406015037593987,0.4625,0.37406015037593987,-0.08843984962406015
TSShapeQA-OOD,accuracy,chatts_caption,800,268,0.335,532,0.665,800,532,423,318,0.52875,0.5977443609022557,0.52875,0.5977443609022557,0.52875,0.5977443609022557,0.06899436090225564
TSShapeQA-OOD,accuracy,chatts_caption_plus,800,268,0.335,532,0.665,800,532,426,306,0.5325,0.575187969924812,0.5325,0.575187969924812,0.5325,0.575187969924812,0.04268796992481205
TSShapeQA-OOD,accuracy,tool_agent,800,268,0.335,532,0.665,800,532,800,532,1.0,1.0,1.0,1.0,1.0,1.0,0.0
TimeSeriesExam,accuracy,meta_only,263,103,0.3916349809885932,160,0.6083650190114068,263,160,103,0,0.3916349809885932,0.0,0.3916349809885932,0.0,0.3916349809885932,0.0,-0.3916349809885932
TimeSeriesExam,accuracy,numbers,263,103,0.3916349809885932,160,0.6083650190114068,263,160,178,89,0.6768060836501901,0.55625,0.6768060836501901,0.55625,0.6768060836501901,0.55625,-0.1205560836501901
TimeSeriesExam,accuracy,opentslm_caption,263,103,0.3916349809885932,160,0.6083650190114068,263,160,95,37,0.3612167300380228,0.23125,0.3612167300380228,0.23125,0.3612167300380228,0.23125,-0.12996673003802278
TimeSeriesExam,accuracy,chatts_caption,263,103,0.3916349809885932,160,0.6083650190114068,263,160,135,63,0.5133079847908745,0.39375,0.5133079847908745,0.39375,0.5133079847908745,0.39375,-0.11955798479087448
dataset_a,open_score,meta_only,116,16,0.13793103448275862,100,0.8620689655172413,116,100,16,0,0.13793103448275862,0.0,0.3880192586206897,0.29010234,0.3880192586206897,0.29010234,-0.09791691862068969
dataset_a,open_score,numbers,116,16,0.13793103448275862,100,0.8620689655172413,117,100,23,14,0.19658119658119658,0.14,0.5202907777777778,0.4887402,0.5202907777777778,0.4887402,-0.031550577777777755
dataset_a,open_score,opentslm_caption,116,16,0.13793103448275862,100,0.8620689655172413,115,98,13,4,0.11304347826086956,0.04081632653061224,0.3166414695652174,0.25762348979591837,0.3166414695652174,0.25762348979591837,-0.05901797976929901
