benchmark,multivar_reasoning_type,metric_kind,chatts_caption,chatts_caption_plus,meta_only,numbers,numbers_cot,opentslm_caption,opentslm_caption_plus,tool_agent,numbers_minus_meta_only,opentslm_caption_plus_minus_numbers,chatts_caption_plus_minus_numbers,opentslm_caption_minus_numbers,chatts_caption_minus_numbers,best_caption_plus_minus_numbers
FREDQA,cross_variable_causal_reasoning_candidate,accuracy,0.7333333333333333,0.7666666666666667,0.7333333333333333,0.8,,0.7333333333333333,0.7666666666666667,,0.06666666666666676,-0.033333333333333326,-0.033333333333333326,-0.06666666666666676,-0.06666666666666676,-0.033333333333333326
FREDQA,cross_variable_comparison_or_relation,accuracy,0.8202531645569621,0.8050632911392405,0.7949367088607595,0.8151898734177215,,0.7974683544303798,0.8227848101265823,,0.020253164556962022,0.0075949367088608,-0.010126582278481067,-0.017721518987341756,0.005063291139240533,0.0075949367088608
FREDQA,multi_series_input_unclear_if_required,accuracy,0.9393939393939394,0.9090909090909091,0.9090909090909091,0.9090909090909091,,0.9090909090909091,0.8787878787878788,,0.0,-0.030303030303030276,0.0,0.0,0.030303030303030387,0.0
FREDQA,single_series,accuracy,0.8082191780821918,0.821917808219178,0.8424657534246576,0.821917808219178,,0.821917808219178,0.821917808219178,,-0.020547945205479534,0.0,0.0,0.0,-0.013698630136986245,0.0
TSAQA,cross_series_comparison_or_relation,accuracy,0.5263157894736842,0.6616541353383458,0.5864661654135338,0.7669172932330827,,0.518796992481203,0.6766917293233082,0.6691729323308271,0.18045112781954886,-0.09022556390977443,-0.10526315789473684,-0.24812030075187963,-0.24060150375939848,-0.09022556390977443
TSAQA,multi_series_input_single_series_question,accuracy,0.48484848484848486,0.7878787878787878,0.6060606060606061,0.8787878787878788,,0.5454545454545454,0.7878787878787878,0.696969696969697,0.2727272727272727,-0.09090909090909094,-0.09090909090909094,-0.33333333333333337,-0.3939393939393939,-0.09090909090909094
TSAQA,single_series,accuracy,0.4493975903614458,0.5879518072289157,0.4831325301204819,0.6216867469879518,,0.43373493975903615,0.5795180722891566,0.5325301204819277,0.13855421686746988,-0.04216867469879515,-0.033734939759036076,-0.18795180722891563,-0.172289156626506,-0.033734939759036076
TSShapeQA-OOD,single_series,accuracy,0.52875,0.5325,0.335,0.55375,0.59875,0.335,0.4625,1.0,0.21874999999999994,-0.09124999999999994,-0.02124999999999999,-0.21874999999999994,-0.02499999999999991,-0.02124999999999999
TimeSeriesExam,single_series,accuracy,0.5133079847908745,,0.3916349809885932,0.6768060836501901,,0.3612167300380228,,,0.28517110266159695,,,-0.31558935361216733,-0.16349809885931565,
dataset_a,single_series,open_score,0.6523523017241379,0.6697673391304348,0.38801925862068964,0.5202907777777779,,0.3166414695652174,0.46927529565217385,0.547481282051282,0.13227151915708824,-0.05101548212560403,0.14947656135265697,-0.2036493082125605,0.13206152394636006,0.14947656135265697
dataset_a_raw_multivar,cluster_or_cross_series_relation,open_score,0.561281179138322,0.616326530612245,0.502277021919879,0.6202290764790765,,0.4914399092970521,0.6227891156462585,,0.11795205455919755,0.002560039167181949,-0.003902545866831586,-0.12878916718202443,-0.05894789734075456,0.002560039167181949
